id	title	url	publisher	category	story	hostname	timestamp
289974	Draghi Unites Euro Bulls With Bears Watching $1.35: Currencies	http://www.businessweek.com/news/2014-06-16/draghi-unites-euro-bulls-with-bears-watching-1-dot-35-currencies	Businessweek	b	dWFE6j8qiln4-gM9XHXLwrtbu9G3M	www.businessweek.com	1402916284786
170077	A Guide To Spring Gardening, For Allergy-Sufferers	http://www.huffingtonpost.com/2014/04/26/gardening-spring-allergies-_n_5206186.html\?utm_hp_ref=healthy-living	Huffington Post	m	d9rqLdlVaeG5QeMA7Qa82YUH0FgkM	www.huffingtonpost.com	1398799729255
381569	By Odin's beard: Marvel creates a storm of controversy as it reveals Thor is a  ...	http://www.dailymail.co.uk/news/article-2693269/By-Odins-beard-Marvel-creates-storm-controversy-reveals-Thor-woman.html	Daily Mail	e	dUmj0nbZNQbZRjMarG4k-G60NPjyM	www.dailymail.co.uk	1405500950599
96846	Walmart Strikes Deal That Will Hopefully Make Organic Food Cheaper	http://www.huffingtonpost.com/2014/04/10/walmart-organic-food-wild-oats_n_5122827.html\?utm_hp_ref=business	Huffington Post	b	d11000kgo6x5AOMQr-Wqb7XpSHPYM	www.huffingtonpost.com	1397229857423
148554	The Voice contestant Kristen Merlin goes silent mid-song after microphone fails  ...	http://www.dailymail.co.uk/tvshowbiz/article-2610022/The-Voice-contestant-Kristen-Merlin-goes-silent-mid-song-microphone-fails-keeps-composed.html	Daily Mail	e	dzogiEpEyVyAqCMXUG5qPqPfPViEM	www.dailymail.co.uk	1398172833984
298855	Gender Non-Conforming Teen Forced To Remove Makeup For Driver's License  ...	http://www.huffingtonpost.com/2014/06/16/gender-non-conforming-teen-drivers-license-_n_5500143.html	Huffington Post	t	dUJpJvAeu22PFaMqgpTM6x-wXaUsM	www.huffingtonpost.com	1403078617751
67530	From Cleaning Toilets to Intergalactic Royalty: Jupiter Ascending [Trailer +  ...	http://www.contactmusic.com/article/jupiter-ascending-trailer-mila-kunis-channing-tatum_4128946	Contactmusic.com	e	dB6DHq2cS6JRPDMvhkaTrqwnZCD9M	www.contactmusic.com	1396185459029
407589	CORRECTED-Sprint's revenue beats estimate as network upgrade progresses	http://www.reuters.com/article/2014/07/30/sprint-corp-results-idUSL2N0Q50O420140730	Reuters	t	dUYL87lG0rr5S5Mm-H_jM0AD5umdM	www.reuters.com	1406865886958
69454	'My mother touched me I'm certain': Hip hop mogul gunned down at mom's  ...	http://www.dailymail.co.uk/news/article-2592945/My-mother-touched-Im-certain-Hip-hop-mogul-gunned-moms-funeral-nephew-says-dead-parent-saved-him.html	Daily Mail	e	dMXJCPWNIRd9VWMrvxGgoEIc8UaMM	www.dailymail.co.uk	1396236915860
410587	Fairfax CEO Watsa Probed by Regulator in Trading Review	http://www.businessweek.com/news/2014-08-01/fairfax-ceo-watsa-probed-by-regulator-in-trading-review	Businessweek	b	d6s61cXf9rASExMO8inpkRujc9VTM	www.businessweek.com	1406929611840
311090	Fitch Affirms OP-Pohjola at 'A+; Outlook Stable	http://in.reuters.com/article/2014/06/24/fitch-affirms-op-pohjola-at-a-outlook-st-idINFit70580920140624	Reuters	b	d3tIMfB2mg-9MZM4G_jGTEiRVl3jM	in.reuters.com	1403633886633
126642	Rapper Andre Johnson, Aka Christ Bearer, Severs Penis And Jumps From  ...	http://www.huffingtonpost.com/2014/04/16/andre-johnson-severs-penis_n_5162720.html	Huffington Post	e	dZ3Gwtn9vGHywVM1lOduxEtHpJE1M	www.huffingtonpost.com	1397712635798
32638	L'wren Scott - Representative: 'L'wren Scott Was Not Planning Company Closure'	http://www.contactmusic.com/story/representative-l-wren-scott-was-not-planning-company-closure_4120215	Contactmusic.com	e	dMKQx4Ndo9Eki5M-GbPC-wY5IU_cM	www.contactmusic.com	1395516959469
52124	Samsung Galaxy S5 upstaged by South Korean mobile companies	http://www.dailymail.co.uk/news/article-2590462/Samsung-puzzled-latest-smartphone-upstaged-South-Korean-mobile-companies.html	Daily Mail	t	dGA_-1CMxMpz39MQoDUHvFI2_K8pM	www.dailymail.co.uk	1395953601644
124650	UPDATE 2-Detroit pension deal approved by one retirement system	http://in.reuters.com/article/2014/04/17/usa-detroit-bankruptcy-pensions-idINL2N0N813E20140417	Reuters	b	diFt7-bFw8vKwoMhM7AP2ncgvKvXM	in.reuters.com	1397703042579
274566	Daddy's girl: Scott Disick tenderly strokes daughter Penelope's head while out  ...	http://www.dailymail.co.uk/tvshowbiz/article-2645059/Scott-Disick-tenderly-strokes-daughter-Penelopes-head-Kourtney-Kardashian-son-Mason.html	Daily Mail	e	dBbhggDVOAJFQZMNsQdFKWJpMMqGM	www.dailymail.co.uk	1401897933386
145129	Google Glass wearing doctors in Boston save patients life using device	http://www.dailymail.co.uk/news/article-2609221/Google-Glass-wearing-doctors-Boston-save-patients-life-using-controversial-device-specially-adapted-hospitals.html	Daily Mail	t	dGDtUGW4bpQmHsM80SwTDw3SYA2PM	www.dailymail.co.uk	1398108831898
